Time,F-5 
8527.37328,-15.5497174
8530.21431,-15.2135826
8533.08971,-15.4084089
8535.92555,-15.6772584
8538.74564,-15.654828
8541.58016,-15.5070353
8544.42475,-15.5695319
8547.2694,-15.4687117
8550.0993,-15.5628812
8552.9262,-15.5710136
8555.78342,-15.3985941
8558.64213,-15.3414673
8561.47066,-15.5356365
8564.30143,-15.6188946
8567.13571,-15.5244299
8569.97204,-15.1759505
8572.80563,-15.6117063
8575.64604,-15.7444849
8578.48613,-15.5126347
8581.3321,-15.7442494
8584.17199,-15.4470466
8587.01083,-15.5282919
8589.84529,-15.176031
8592.69844,-15.6203447
8595.51959,-15.5735178
8598.35306,-15.1856774
8601.18196,-15.9052116
8604.02255,-15.7778951
8606.88089,-15.4656892
8609.73554,-15.1778248
8612.56206,-15.3881334
8615.3944,-15.6245012
8618.23582,-15.6636598
8621.0762,-15.5583985
8623.91224,-15.7372261
8626.75345,-15.6215455
8629.59235,-15.6732082
8632.42362,-15.5012315
8635.28158,-15.5765809
8638.11424,-15.2633375
8640.95532,-15.6771404
8643.81491,-15.1738588
8646.64326,-15.6169747
8649.47278,-15.5836829
8652.31599,-15.5880603
8655.1762,-15.3449749
8658.01148,-15.6446433
8660.83682,-15.7835018
8663.6761,-15.4509231
8666.51181,-15.6283393
8669.3534,-15.539845
8672.19773,-15.4831719
8675.04001,-15.6055449
8677.87573,-15.7627069
8680.71169,-15.4825723
8683.54409,-15.5621404
8686.38274,-15.4216378
8689.19152,-15.9199173
8692.05373,-15.1609137
8694.8812,-15.7205898
8697.70797,-15.9177275
8700.55537,-15.58298
8703.37943,-15.5244176
8706.21142,-16.0717864
8709.05308,-15.5127427
8711.88335,-15.2767358
8714.73519,-15.6093578
8717.55897,-15.7189279
8720.39124,-15.3785176
8723.22327,-15.6173475
8726.04761,-15.7795537
8728.88576,-15.4134804
8731.7141,-15.630355
8734.56194,-15.4940998
8737.39458,-15.7813908
8740.2393,-15.6610828
8743.07852,-15.9284349
8745.91154,-15.4735873
8748.78475,-15.5493288
8751.61028,-15.5670669
8754.44937,-15.698227
8757.31258,-15.617186
8760.14961,-15.5666211
8762.99451,-15.791797
8765.85241,-15.3853415
8768.68969,-15.62695
8771.50896,-15.7434177
8774.35255,-15.4308895
8777.19033,-15.6145572
8779.99566,-15.6032656
8782.82394,-15.4259893
8785.65859,-15.6439553
8788.48974,-15.4542737
8791.35484,-15.4780722
8794.18948,-15.6262583
8797.03789,-15.6534845
8799.87216,-15.6991699
8802.70413,-15.4393454
8805.55303,-15.7629985
8808.38456,-15.5632127
8811.22714,-15.4501685
8814.06323,-15.8418585
8816.89701,-15.3907555
8819.71322,-15.6083271
8822.53675,-15.482607
8825.37279,-15.9038948
8828.20674,-15.5227162
8831.03839,-15.4297516
8833.85929,-15.6857819
8836.72226,-15.6317308
8839.55459,-15.5021104
8842.39868,-15.6190393
8845.22315,-15.3052967
8848.06486,-15.550288
8850.90176,-15.5032156
8853.73229,-15.6622818
8856.59038,-15.5993646
8859.41903,-15.5480091
8862.27418,-15.6819912
8865.10801,-15.5568639
8867.95823,-15.8466802
8870.79081,-15.7172562
8873.65085,-15.5982286
8876.51324,-15.5027881
8879.34696,-15.8429478
8882.17255,-15.3885615
8885.00838,-15.7417524
